Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.00    0.00       7/7           irxinout_host [191]
-----------------------------------------------
                0.05    0.32 4940815/4940815     IRXBEXEC [3]
[4]     18.5    0.05    0.32 4940815         IRXARICM [4]
                0.02    0.19 9601629/12102041     lstr_to_num [7]
                0.05    0.01 8901628/13352246     num_free [14]
                0.03    0.00 4240814/4520815     mag_compare [29]
                0.01    0.00 4940815/6191022     get_numeric [41]
-----------------------------------------------
                0.07    0.24 12522138/12522138     IRXBEXEC [3]
[5]     15.9    0.07    0.24 12522138         VPOOLGTB [5]
                0.02    0.09 12672139/18322925     bucket_index [11]
                0.06    0.00 12672139/18322761     find_in_bucket [16]
                0.01    0.02 12522138/19572926     Lstrcpy [25]
                0.02    0.00 12522138/18172760     matches_exposed_stem [28]
                0.01    0.00  150001/150001      first_dot [42]
                0.00    0.00 12522138/18032596     resolve_ref [109]
-----------------------------------------------
                0.01    0.28 1250205/1250205     IRXBEXEC [3]
[6]     14.0    0.01    0.28 1250205         IRXARIOP [6]
                0.08    0.00  270000/270000      num_mul [18]
                0.03    0.05 1250205/1250205     num_to_lstr [19]
                0.01    0.05 2500410/12102041     lstr_to_num [7]
                0.00    0.04  980201/980201      num_addsub [27]
                0.02    0.01 3750615/13352246     num_free [14]
                0.00    0.00 1250205/6191022     get_numeric [41]
                0.00    0.00       4/4           num_div_impl [80]
-----------------------------------------------
                0.00    0.00       2/12102041     IRXARIFM [82]
                0.01    0.05 2500410/12102041     IRXARIOP [6]
                0.02    0.19 9601629/12102041     IRXARICM [4]
[7]     13.2    0.03    0.24 12102041         lstr_to_num [7]
                0.15    0.09 12102041/12102041     num_from_str [8]
-----------------------------------------------
                0.15    0.09 12102041/12102041     lstr_to_num [7]
[8]     11.9    0.15    0.09 12102041         num_from_str [8]
                0.03    0.02 12102041/13352246     num_alloc [22]
                0.03    0.00 11402040/12932248     num_strip_trailing [31]
                0.01    0.00 11402040/11402044     num_strip_leading [48]
                0.00    0.00  700001/13352246     num_free [14]
-----------------------------------------------
                0.04    0.17 1540403/1540403     IRXBEXEC [3]
[9]     10.2    0.04    0.17 1540403         IRXBIFFN [9]
                0.17    0.00 57262112/57262112     ebcdic_eq [10]
-----------------------------------------------
                0.17    0.00 57262112/57262112     IRXBIFFN [9]
[10]     8.2    0.17    0.00 57262112         ebcdic_eq [10]
-----------------------------------------------
                0.00    0.00     164/18322925     link_entry [71]
                0.00    0.00  140000/18322925     vpool_drop [57]
                0.01    0.04 5510622/18322925     VPOOLSTB [13]
                0.02    0.09 12672139/18322925     VPOOLGTB [5]
[11]     8.0    0.03    0.13 18322925         bucket_index [11]
                0.13    0.00 18322925/18322925     hash_bytes [12]
-----------------------------------------------
                0.13    0.00 18322925/18322925     bucket_index [11]
[12]     6.5    0.13    0.00 18322925         hash_bytes [12]
-----------------------------------------------
                0.01    0.05 2710619/5510622     IRXBEXEC [3]
                0.01    0.05 2800003/5510622     pframe_assign [15]
[13]     6.0    0.02    0.10 5510622         VPOOLSTB [13]
                0.01    0.04 5510622/18322925     bucket_index [11]
                0.03    0.00 5510622/18322761     find_in_bucket [16]
                0.01    0.01 5510786/19572926     Lstrcpy [25]
                0.01    0.00 5510622/18172760     matches_exposed_stem [28]
                0.00    0.00     164/164         link_entry [71]
                0.00    0.00     164/164         vp_entry_new [74]
                0.00    0.00 5510458/18032596     resolve_ref [109]
-----------------------------------------------
                0.00    0.00       2/13352246     IRXARIFM [82]
                0.00    0.00  700001/13352246     num_from_str [8]
                0.02    0.01 3750615/13352246     IRXARIOP [6]
                0.05    0.01 8901628/13352246     IRXARICM [4]
[14]     5.1    0.08    0.02 13352246         num_free [14]
                0.02    0.00 13352246/31706132     irxstor [24]
-----------------------------------------------
                0.01    0.08 3220004/3220004     IRXBEXEC [3]
[15]     4.5    0.01    0.08 3220004         pframe_assign [15]
                0.01    0.05 2800003/5510622     VPOOLSTB [13]
                0.00    0.01 2800003/8120593     Lfree [34]
                0.01    0.00 2800003/30393868     get_entry [17]
                0.00    0.00 2520002/46576635     Lfx [20]
-----------------------------------------------
                0.00    0.00  140000/18322761     vpool_drop [57]
                0.03    0.00 5510622/18322761     VPOOLSTB [13]
                0.06    0.00 12672139/18322761     VPOOLGTB [5]
[16]     4.5    0.09    0.00 18322761         find_in_bucket [16]
-----------------------------------------------
                0.01    0.00 2800003/30393868     pframe_assign [15]
                0.08    0.00 27593865/30393868     IRXBEXEC [3]
[17]     4.2    0.09    0.00 30393868         get_entry [17]
-----------------------------------------------
